País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Barbados	Suco	$0,00	$0,00	$1.983,00	$2.314,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$192,00
Bélgica	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$54,00	$19,00	$196,00	$0,00
Benin	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$321,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Bermudas	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$27,00	$0,00
Birmânia	Suco	$0,00	$0,00	$0,00	$0,00	$14,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Bolívia	Suco	$0,00	$0,00	$2.562,00	$0,00	$910,00	$8.958,00	$11.723,00	$8.238,00	$7.448,00	$21.856,00	$14.917,00	$26.003,00	$1.207,00	$0,00	$26.745,00	$19.860,00
Cabo Verde	Suco	$295,00	$0,00	$312,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$330,00	$330,00	$236,00	$224,00	$0,00
Camarões	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$2.441,00	$0,00	$0,00	$29,00	$0,00
Canadá	Suco	$435.228,00	$246.016,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$115,00	$0,00	$0,00	$5.377,00	$11.200,00	$0,00	$19.320,00	$5.709,00
Catar	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$47,00	$0,00
Chile	Suco	$102.900,00	$0,00	$0,00	$0,00	$0,00	$0,00	$17.692,00	$0,00	$4.539,00	$0,00	$0,00	$2.208,00	$2.344,00	$0,00	$6.612,00	$19.418,00
China	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$1.619,00	$128,00	$47.255,00	$0,00	$20.101,00	$1.473,00	$32.594,00	$47.152,00	$7,00	$413.169,00	$1.182.122,00
Chipre	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$226,00	$196,00	$315,00	$232,00
Cingapura	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$10.510,00	$1.354,00	$674,00	$0,00	$0,00
Colômbia	Suco	$490,00	$0,00	$0,00	$0,00	$0,00	$0,00	$44.520,00	$46.435,00	$13.530,00	$18.296,00	$18.531,00	$0,00	$0,00	$0,00	$2,00	$14.051,00
Congo	Suco	$936,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Coreia do Sul	Suco	$315.462,00	$403.796,00	$245.834,00	$0,00	$0,00	$0,00	$0,00	$52.478,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Costa do Marfim	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00
Costa Rica	Suco	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$0,00	$12.611,00	$0,00	$0,00	$0,00	$1.440,00
