País	Produto	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Canadá	Suco	315.759,00	129.850,00	0,00	0,00	0,00	0,00	0,00	0,00	76,00	0,00	0,00	2.355,00	9.486,00	0,00	14.943,00	4.476,00
Catar	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5,00	0,00
Chile	Suco	84.000,00	0,00	0,00	0,00	0,00	0,00	9.659,00	0,00	789,00	0,00	0,00	1.448,00	1.788,00	0,00	5.320,00	16.845,00
China	Suco	0,00	0,00	0,00	0,00	0,00	1.146,00	47,00	18.588,00	0,00	6.029,00	1.196,00	16.815,00	23.937,00	6,00	240.845,00	667.684,00
Chipre	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	161,00	138,00	252,00	224,00
Cingapura	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	6.300,00	908,00	676,00	0,00	0,00
Colômbia	Suco	583,00	0,00	0,00	0,00	0,00	0,00	12.000,00	13.005,00	4.000,00	6.650,00	5.700,00	0,00	0,00	0,00	1,00	11.082,00
Congo	Suco	1.440,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Coreia do Sul	Suco	234.360,00	301.320,00	87.450,00	0,00	0,00	0,00	0,00	18.550,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Costa do Marfim	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Costa Rica	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	3.026,00	0,00	0,00	0,00	2.160,00
Coveite	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	655,00	0,00	0,00	0,00	0,00	0,00	0,00	10.038,00
Cuba	Suco	150,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
Curaçao	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	810,00	948,00	0,00	1.727,00	1.050,00
Dinamarca	Suco	0,00	0,00	0,00	74.200,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	72,00	84,00	90,00	206,00
Dominica, Ilha de	Suco	0,00	0,00	348,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	35,00	0,00	0,00	0,00
El Salvador	Suco	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
